time_ms,funding_rate
1689764400165,7.7504e-06
1689768000371,1.10759e-05
1689771600087,6.4711e-06
1689775200035,5.7211e-06
1689778800112,6.6239e-06
1689782400008,9.8735e-06
1689786000159,9.4791e-06
1689789600127,7.5672e-06
1689793200132,1.25e-05
1689796800123,-9.177e-07
1689800400086,4.5554e-06
1689804000114,3.2396e-06
1689807600184,-1.0859e-06
1689811200088,-3.1347e-06
1689814800154,4.691e-07
1689818400227,5.806e-07
1689822000079,8.0737e-06
1689825600055,9.9664e-06
1689829200104,1.09154e-05
1689832800046,1.25e-05
1689836400117,1.25e-05
1689840000035,8.4963e-06
1689843600154,8.5088e-06
1689847200156,6.0247e-06
1689850800030,7.5053e-06
1689854400122,1.25e-05
1689858000112,1.08084e-05
1689861600071,7.185e-06
1689865200110,-2.0348e-06
1689868800131,6.6353e-06
1689872400145,7.2422e-06
1689876000106,1.10906e-05
1689879600362,1.17351e-05
1689883200408,1.23015e-05
1689886800291,1.13201e-05
1689890400196,7.474e-06
1689894000110,8.7968e-06
1689897600039,-2.0775e-06
1689901200057,4.2223e-06
1689904800040,1.16741e-05
1689908400443,1.15058e-05
1689912000123,4.9189e-06
1689915600008,7.7658e-06
